Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Home,168,315,310,326,359,405,296,567,0.00%,0.28203,1.56,0.13
Sign In,168,80,78,87,95,109,73,134,0.00%,0.28219,1.13,0.17
Register,168,247,241,265,284,301,225,564,0.00%,0.28145,3.1,0.77
Buy Fish,168,432,410,459,517,648,380,1569,0.00%,0.28169,5.81,0.95
Checkout,166,257,249,281,294,393,229,532,0.00%,0.28156,4.19,0.69
TOTAL,838,266,259,413,427,532,73,1569,0.00%,1.39769,15.65,2.68
